segment,factors,bin_label,n,win_roi,place_roi,confidence
GLOBAL,yuso_kubun+chokyoshimei,1|萱野浩二,58,20.1,29.1,0.356
GLOBAL,yuso_kubun+chokyoshimei,1|藤原英昭,100,60.0,68.5,0.447
GLOBAL,yuso_kubun+chokyoshimei,1|藤原辰雄,51,68.4,108.5,0.336
GLOBAL,yuso_kubun+chokyoshimei,1|藤岡健一,94,150.3,88.8,0.436
GLOBAL,yuso_kubun+chokyoshimei,1|藤沢則雄,39,201.1,53.7,0.298
GLOBAL,yuso_kubun+chokyoshimei,1|藤沢和雄,183,69.5,90.0,0.56
GLOBAL,yuso_kubun+chokyoshimei,1|蛯名利弘,57,69.0,137.5,0.353
GLOBAL,yuso_kubun+chokyoshimei,1|蛯名正義,37,72.8,135.7,0.291
GLOBAL,yuso_kubun+chokyoshimei,1|西園正都,72,57.6,68.1,0.391
GLOBAL,yuso_kubun+chokyoshimei,1|西村真幸,106,16.4,57.0,0.458
GLOBAL,yuso_kubun+chokyoshimei,1|西橋豊治,47,0.0,56.6,0.324
GLOBAL,yuso_kubun+chokyoshimei,1|西浦勝一,65,51.1,44.0,0.374
GLOBAL,yuso_kubun+chokyoshimei,1|角田晃一,117,38.3,71.9,0.476
GLOBAL,yuso_kubun+chokyoshimei,1|谷潔,89,10.1,29.2,0.427
GLOBAL,yuso_kubun+chokyoshimei,1|野中賢二,70,43.9,64.8,0.386
GLOBAL,yuso_kubun+chokyoshimei,1|金成貴史,96,23.5,93.8,0.44
GLOBAL,yuso_kubun+chokyoshimei,1|鈴木伸尋,82,84.5,75.8,0.412
GLOBAL,yuso_kubun+chokyoshimei,1|鈴木孝志,79,51.6,43.3,0.406
GLOBAL,yuso_kubun+chokyoshimei,1|鈴木慎太郎,38,16.4,62.2,0.295
GLOBAL,yuso_kubun+chokyoshimei,1|長谷川浩大,61,79.7,65.7,0.364
GLOBAL,yuso_kubun+chokyoshimei,1|青木孝文,88,48.3,69.2,0.425
GLOBAL,yuso_kubun+chokyoshimei,1|音無秀孝,104,110.8,116.9,0.454
GLOBAL,yuso_kubun+chokyoshimei,1|須貝尚介,258,108.0,99.3,0.626
GLOBAL,yuso_kubun+chokyoshimei,1|飯田祐史,69,84.5,80.6,0.384
GLOBAL,yuso_kubun+chokyoshimei,1|高市圭二,40,114.5,90.3,0.302
GLOBAL,yuso_kubun+chokyoshimei,1|高木登,94,78.2,72.0,0.436
GLOBAL,yuso_kubun+chokyoshimei,1|高柳大輔,81,35.6,30.4,0.41
GLOBAL,yuso_kubun+chokyoshimei,1|高柳瑞樹,93,49.6,59.8,0.434
GLOBAL,yuso_kubun+chokyoshimei,1|高橋亮,87,71.2,61.7,0.423
GLOBAL,yuso_kubun+chokyoshimei,1|高橋康之,88,101.8,120.6,0.425
GLOBAL,yuso_kubun+chokyoshimei,1|高橋文雅,52,2.0,68.5,0.339
GLOBAL,yuso_kubun+chokyoshimei,1|高橋祥泰,39,0.0,45.3,0.298
GLOBAL,yuso_kubun+chokyoshimei,1|高橋義忠,98,29.0,78.5,0.444
GLOBAL,yuso_kubun+chokyoshimei,1|高橋裕,70,164.2,87.3,0.386
GLOBAL,yuso_kubun+chokyoshimei,1|高野友和,88,55.3,61.1,0.425
GLOBAL,yuso_kubun+chokyoshimei,1|鮫島一歩,76,105.4,74.9,0.4
GLOBAL,yuso_kubun+chokyoshimei,1|鹿戸雄一,78,50.4,44.9,0.404
GLOBAL,yuso_kubun+chokyoshimei,1|黒岩陽一,90,124.5,104.2,0.429
GLOBAL,yuso_kubun+chokyoshimei,2|上原佑紀,147,54.0,98.5,0.518
GLOBAL,yuso_kubun+chokyoshimei,2|上原博之,470,44.1,63.1,0.735
GLOBAL,yuso_kubun+chokyoshimei,2|中内田充正,36,59.1,80.1,0.287
GLOBAL,yuso_kubun+chokyoshimei,2|中川公成,399,63.9,72.8,0.707
GLOBAL,yuso_kubun+chokyoshimei,2|中舘英二,476,93.4,75.2,0.737
GLOBAL,yuso_kubun+chokyoshimei,2|中野栄治,400,72.8,96.4,0.707
GLOBAL,yuso_kubun+chokyoshimei,2|久保田貴士,567,94.0,91.4,0.766
GLOBAL,yuso_kubun+chokyoshimei,2|二ノ宮敬宇,150,29.2,39.9,0.522
GLOBAL,yuso_kubun+chokyoshimei,2|伊坂重信,164,78.0,65.2,0.539
GLOBAL,yuso_kubun+chokyoshimei,2|伊藤伸一,272,71.8,52.5,0.636
GLOBAL,yuso_kubun+chokyoshimei,2|伊藤圭三,467,54.2,65.6,0.734
GLOBAL,yuso_kubun+chokyoshimei,2|伊藤大士,532,41.3,66.4,0.756
GLOBAL,yuso_kubun+chokyoshimei,2|伊藤正徳,144,62.7,53.8,0.514
GLOBAL,yuso_kubun+chokyoshimei,2|佐藤吉勝,283,46.1,40.6,0.644
GLOBAL,yuso_kubun+chokyoshimei,2|加藤和宏,306,50.3,64.2,0.658
GLOBAL,yuso_kubun+chokyoshimei,2|加藤士津八,331,64.2,77.8,0.673
GLOBAL,yuso_kubun+chokyoshimei,2|加藤征弘,497,64.5,65.4,0.744
GLOBAL,yuso_kubun+chokyoshimei,2|勢司和浩,305,70.1,75.3,0.658
GLOBAL,yuso_kubun+chokyoshimei,2|千葉直人,65,46.4,68.2,0.374
GLOBAL,yuso_kubun+chokyoshimei,2|南井克巳,41,19.8,64.2,0.305
GLOBAL,yuso_kubun+chokyoshimei,2|南田美知雄,305,125.5,82.2,0.658
GLOBAL,yuso_kubun+chokyoshimei,2|友道康夫,31,75.3,79.0,0.268
GLOBAL,yuso_kubun+chokyoshimei,2|古賀史生,236,112.1,70.8,0.609
GLOBAL,yuso_kubun+chokyoshimei,2|古賀慎明,468,79.5,69.2,0.734
GLOBAL,yuso_kubun+chokyoshimei,2|和田勇介,338,57.2,74.3,0.677
GLOBAL,yuso_kubun+chokyoshimei,2|和田正一郎,391,138.5,102.0,0.703
GLOBAL,yuso_kubun+chokyoshimei,2|和田正道,163,74.6,78.4,0.538
GLOBAL,yuso_kubun+chokyoshimei,2|和田雄二,418,77.6,66.0,0.715
GLOBAL,yuso_kubun+chokyoshimei,2|嘉藤貴行,148,20.3,50.0,0.52
GLOBAL,yuso_kubun+chokyoshimei,2|国枝栄,572,59.5,67.6,0.767
GLOBAL,yuso_kubun+chokyoshimei,2|土田稔,360,42.7,66.3,0.688
GLOBAL,yuso_kubun+chokyoshimei,2|堀井雅広,319,79.1,72.1,0.666
GLOBAL,yuso_kubun+chokyoshimei,2|堀内岳志,139,24.7,47.5,0.508
GLOBAL,yuso_kubun+chokyoshimei,2|堀宣行,393,90.8,90.5,0.704
