combo,combo_ja,phases,n_segments,n_bins_total,max_n_horses,min_n_horses,all_bin_keys_le20,sample_bin_keys,bin_type_primary,current_bin_rule
joken_class_code+ten_shisu_juni+gekiso_juni,条件クラス＋テン指数順位＋激走順位,3,1,1369,157,1,(1369個),"0|1.0|1.0, 0|1.0|10.0, 0|1.0|11.0, 0|1.0|12.0, 0|1.0|13.0, 0|1.0|14.0, 0|1.0|15.0, 0|1.0|16.0, 0|1.0|17.0, 0|1.0|18.0",categorical,条件クラスコード(0/1/2/3/9)そのままビン化
joken_class_code+ten_shisu_juni+shiba_tekisei_code+pace_shisu_juni,条件クラス＋テン指数順位＋芝適性＋ペース指数順位,4,1,2396,174,1,(2396個),"0|1.0|2|1.0, 0|1.0|2|10.0, 0|1.0|2|11.0, 0|1.0|2|2.0, 0|1.0|2|3.0, 0|1.0|2|4.0, 0|1.0|2|5.0, 0|1.0|2|6.0, 0|1.0|2|7.0, 0|1.0|2|8.0",categorical,条件クラスコード(0/1/2/3/9)そのままビン化
joken_class_code+uma_start_shisu+hizume_code,条件クラス＋馬スタート指数＋蹄コード,3,1,986,211,1,(986個),"0|-0.1|02, 0|-0.1|03, 0|-0.1|04, 0|-0.1|09, 0|-0.1|10, 0|-0.1|11, 0|-0.1|12, 0|-0.1|18, 0|-0.1|19, 0|-0.1|21",categorical,条件クラスコード(0/1/2/3/9)そのままビン化
joshodo_code+ichi_shisu_juni+pace_shisu_juni,上昇度＋位置指数順位＋ペース指数順位,3,1,277,166,1,(277個),"0|1.0|1.0, 0|1.0|2.0, 0|1.0|3.0, 0|1.0|4.0, 0|1.0|5.0, 0|1.0|6.0, 0|1.0|7.0, 0|1.0|8.0, 0|1.0|9.0, 0|10.0|11.0",categorical,カテゴリ値そのままビン化
joshodo_code+kyakushitsu+da_tekisei_code+gekiso_juni,上昇度＋脚質＋ダ適性＋激走順位,4,1,215,179,1,(215個),"3|1|1|1.0, 3|1|1|10.0, 3|1|1|11.0, 3|1|1|12.0, 3|1|1|13.0, 3|1|1|2.0, 3|1|1|4.0, 3|1|1|6.0, 3|1|1|7.0, 3|1|1|8.0",categorical,カテゴリ値そのままビン化
joshodo_code+rotation+gekiso_juni,上昇度＋ローテーション＋激走順位,3,1,567,125,1,(567個),"2|0.0|2.0, 2|1.0|1.0, 2|2.0|1.0, 2|2.0|2.0, 2|2.0|5.0, 2|22.0|1.0, 2|25.0|3.0, 2|3.0|1.0, 2|7.0|1.0, 2|8.0|10.0",categorical,カテゴリ値そのままビン化
joshodo_code+ten_shisu_juni+gekiso_juni,上昇度＋テン指数順位＋激走順位,3,1,623,219,1,(623個),"0|1.0|1.0, 0|1.0|10.0, 0|1.0|11.0, 0|1.0|12.0, 0|1.0|13.0, 0|1.0|2.0, 0|1.0|3.0, 0|1.0|4.0, 0|1.0|5.0, 0|1.0|6.0",categorical,カテゴリ値そのままビン化
joshodo_code+ten_shisu_juni+ichi_shisu_juni,上昇度＋テン指数順位＋位置指数順位,3,1,278,172,1,(278個),"0|1.0|1.0, 0|10.0|11.0, 0|10.0|7.0, 0|10.0|9.0, 0|11.0|10.0, 0|11.0|11.0, 0|11.0|9.0, 0|12.0|8.0, 0|12.0|9.0, 0|13.0|10.0",categorical,カテゴリ値そのままビン化
joshodo_code+ten_shisu_juni+kijun_ninkijun_tansho,上昇度＋テン指数順位＋基準人気順単勝,3,1,602,208,1,(602個),"0|1.0|1, 0|1.0|2, 0|1.0|3, 0|1.0|4, 0|1.0|5, 0|1.0|6, 0|1.0|7, 0|10.0|10, 0|10.0|11, 0|10.0|12",categorical,カテゴリ値そのままビン化
kakutoku_shokin_ruikei,獲得賞金累計,1,1,2518,68037,1,(2518個),"0.0, 24.0, 25.0, 27.0, 28.0, 30.0, 35.0, 37.0, 46.0, 48.0",numeric_range,数値そのままビン化
