bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
岩田康誠|3,327,24,,7.3,,43.3,78.3,X
岩田康誠|4,331,23,,6.9,,124.2,101.2,O
岩田康誠|5,325,27,,8.3,,59.5,69.1,X
岩田康誠|6,372,31,,8.3,,46.1,66.7,X
岩田康誠|7,387,39,,10.1,,79.1,99.0,O
岩田康誠|8,399,40,,10.0,,97.9,89.8,O
岩田望来|1,238,22,,9.2,,67.5,103.7,O
岩田望来|2,261,35,,13.4,,80.0,81.2,O
岩田望来|3,261,33,,12.6,,106.6,98.6,O
岩田望来|4,282,39,,13.8,,93.4,85.4,O
岩田望来|5,271,28,,10.3,,61.8,90.5,O
岩田望来|6,294,40,,13.6,,109.4,82.5,O
岩田望来|7,341,34,,10.0,,59.0,63.9,X
岩田望来|8,358,41,,11.5,,118.5,97.3,O
岩部純二|4,30,0,,0.0,,0.0,63.2,X
嶋田純次|1,50,4,,8.0,,121.6,103.7,O
嶋田純次|2,75,4,,5.3,,48.2,90.1,O
嶋田純次|3,70,2,,2.9,,17.1,74.4,X
嶋田純次|4,57,0,,0.0,,0.0,62.1,X
嶋田純次|5,68,1,,1.5,,2.3,72.3,X
嶋田純次|6,54,6,,11.1,,276.1,116.1,O
嶋田純次|7,83,4,,4.8,,30.8,160.7,O
嶋田純次|8,79,7,,8.9,,158.7,77.8,X
川又賢治|1,97,7,,7.2,,72.3,72.9,X
川又賢治|2,77,8,,10.4,,72.4,82.9,O
川又賢治|3,92,5,,5.4,,70.2,57.9,X
川又賢治|4,103,8,,7.8,,134.9,86.3,O
川又賢治|5,104,2,,1.9,,46.1,69.6,X
川又賢治|6,108,11,,10.2,,187.5,89.7,O
川又賢治|7,131,9,,6.9,,125.0,86.3,O
川又賢治|8,126,7,,5.6,,61.3,82.7,O
川島信二|1,37,2,,5.4,,163.0,103.2,O
川島信二|2,47,3,,6.4,,63.1,95.0,O
川島信二|4,39,2,,5.1,,11.5,169.9,O
川島信二|5,36,3,,8.3,,67.4,43.7,X
