bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
豪|05,32,6,,18.8,,54.0,127.8,O
豪|10,33,8,,24.2,,101.4,100.3,O
青森|01,94,0,,0.0,,0.0,44.7,X
青森|02,97,8,,8.2,,99.5,111.2,O
青森|03,100,10,,10.0,,46.7,59.3,X
青森|04,105,9,,8.6,,72.8,55.6,X
青森|05,83,9,,10.8,,146.6,87.1,O
青森|06,82,6,,7.3,,50.8,96.3,O
青森|07,93,8,,8.6,,108.0,78.5,X
青森|08,88,10,,11.4,,51.3,79.1,X
青森|09,113,6,,5.3,,87.9,113.4,O
青森|10,97,4,,4.1,,51.1,84.0,O
青森|11,87,3,,3.4,,14.6,54.8,X
青森|12,88,8,,9.1,,67.7,65.7,X
青森|13,63,2,,3.2,,36.8,60.4,X
青森|14,53,2,,3.8,,8.4,64.2,X
青森|15,45,2,,4.4,,34.5,38.2,X
青森|16,36,1,,2.8,,6.7,77.7,X
鹿児島|04,31,2,,6.5,,23.5,46.1,X
鹿児島|08,31,4,,12.9,,46.9,75.4,X
