segment,factors,factor1,factor2,factor3,n_bins,n_bets,mean_roi,std_roi,clb,pass
KEIBAJO_SURFACE_07_芝_条件戦,omo_tekisei_code+ten_shisu_juni+tenkai_kigo_code,omo_tekisei_code,ten_shisu_juni,tenkai_kigo_code,10,1236,79.67,16.66,69.35,False
KEIBAJO_SURFACE_07_芝_条件戦,kyori_kubun+omo_tekisei_code+tenkai_kigo_code,kyori_kubun,omo_tekisei_code,tenkai_kigo_code,13,3397,75.09,10.6,69.33,False
KEIBAJO_SURFACE_07_芝_条件戦,kyori_kubun+kyakushitsu+ichi_shisu,kyori_kubun,kyakushitsu,ichi_shisu,3,1934,70.55,1.09,69.31,False
KEIBAJO_SURFACE_07_芝_条件戦,kyori_kubun+ichi_shisu+kakutoku_shokin_ruikei,kyori_kubun,ichi_shisu,kakutoku_shokin_ruikei,3,1982,70.69,1.39,69.11,False
KEIBAJO_SURFACE_07_芝_条件戦,pace_yoso+kyori_kubun+ls_shisu_juni,pace_yoso,kyori_kubun,ls_shisu_juni,17,4437,74.72,11.79,69.11,False
KEIBAJO_SURFACE_07_芝_条件戦,rotation+pace_yoso+kyori_kubun,rotation,pace_yoso,kyori_kubun,10,1377,73.83,7.63,69.1,False
KEIBAJO_SURFACE_07_芝_条件戦,uma_deokure_ritsu+manken_shirushi+tenkai_kigo_code,uma_deokure_ritsu,manken_shirushi,tenkai_kigo_code,4,438,75.13,6.21,69.04,False
KEIBAJO_SURFACE_07_芝_条件戦,kyori_kubun+manken_shirushi+ichi_shisu,kyori_kubun,manken_shirushi,ichi_shisu,3,308,75.52,5.75,69.02,False
KEIBAJO_SURFACE_07_芝_条件戦,hizume_code+uma_start_shisu+tenkai_kigo_code,hizume_code,uma_start_shisu,tenkai_kigo_code,4,886,75.58,6.69,69.01,False
KEIBAJO_SURFACE_07_芝_条件戦,rotation+pace_yoso+omo_tekisei_code,rotation,pace_yoso,omo_tekisei_code,12,1942,72.94,7.0,68.98,False
KEIBAJO_SURFACE_07_芝_条件戦,kyori_kubun+omo_tekisei_code+ls_shisu_juni,kyori_kubun,omo_tekisei_code,ls_shisu_juni,10,2588,76.28,11.79,68.97,False
KEIBAJO_SURFACE_07_芝_条件戦,pace_yoso+kyori_kubun+gekiso_juni,pace_yoso,kyori_kubun,gekiso_juni,16,2200,75.23,12.78,68.97,False
KEIBAJO_SURFACE_07_芝_条件戦,rotation+pace_yoso+kyori_tekisei,rotation,pace_yoso,kyori_tekisei,6,879,72.56,4.51,68.95,False
KEIBAJO_SURFACE_07_芝_条件戦,kyori_kubun+hizume_code+tenkai_kigo_code,kyori_kubun,hizume_code,tenkai_kigo_code,8,1667,75.56,9.59,68.92,False
