segment,factors,factor1,factor2,factor3,n_bins,n_bets,mean_roi,std_roi,clb,pass
KEIBAJO_SURFACE_01_芝,kyori_tekisei+uma_start_shisu+joshodo_code,kyori_tekisei,uma_start_shisu,joshodo_code,23,5530,76.12,8.55,72.62,False
KEIBAJO_SURFACE_01_芝,class_code+umakigo_code+tenkai_kigo_code,class_code,umakigo_code,tenkai_kigo_code,18,6278,77.76,11.22,72.58,False
KEIBAJO_SURFACE_01_芝,uma_start_shisu+uma_deokure_ritsu+pace_shisu_juni,uma_start_shisu,uma_deokure_ritsu,pace_shisu_juni,8,1044,75.56,4.34,72.56,False
KEIBAJO_SURFACE_01_芝,pace_yoso+manken_shirushi+kyakushitsu,pace_yoso,manken_shirushi,kyakushitsu,16,1947,78.22,11.61,72.53,False
KEIBAJO_SURFACE_01_芝,kyori_kubun+manken_shirushi+kyori_tekisei,kyori_kubun,manken_shirushi,kyori_tekisei,16,2711,76.84,8.83,72.51,False
KEIBAJO_SURFACE_01_芝,pace_yoso+pace_shisu_juni+joshodo_code,pace_yoso,pace_shisu_juni,joshodo_code,35,8008,75.08,7.82,72.49,False
KEIBAJO_SURFACE_01_芝,manken_shirushi+joken_class_code+joshodo_code,manken_shirushi,joken_class_code,joshodo_code,23,4652,76.55,9.92,72.49,False
KEIBAJO_SURFACE_01_芝,joken_class_code+uma_start_shisu+umakigo_code,joken_class_code,uma_start_shisu,umakigo_code,22,5273,76.49,9.58,72.48,False
KEIBAJO_SURFACE_01_芝,kyori_kubun+rotation+uma_start_shisu,kyori_kubun,rotation,uma_start_shisu,5,933,77.57,5.83,72.46,False
KEIBAJO_SURFACE_01_芝,kyori_kubun+joken_class_code+joshodo_code,kyori_kubun,joken_class_code,joshodo_code,20,9315,73.78,3.04,72.45,False
KEIBAJO_SURFACE_01_芝,kyori_tekisei+uma_deokure_ritsu+umakigo_code,kyori_tekisei,uma_deokure_ritsu,umakigo_code,12,3536,76.54,7.23,72.45,False
KEIBAJO_SURFACE_01_芝,joken_class_code+joshodo_code+ten_shisu_juni,joken_class_code,joshodo_code,ten_shisu_juni,42,7219,75.88,11.43,72.42,False
KEIBAJO_SURFACE_01_芝,pace_yoso+joken_class_code+kyori_tekisei,pace_yoso,joken_class_code,kyori_tekisei,29,8566,75.23,7.95,72.33,False
KEIBAJO_SURFACE_01_芝,class_code+joshodo_code+tenkai_kigo_code,class_code,joshodo_code,tenkai_kigo_code,19,6766,77.48,11.57,72.27,False
KEIBAJO_SURFACE_01_芝,kyori_kubun+kyakushitsu+ichi_shisu,kyori_kubun,kyakushitsu,ichi_shisu,3,956,74.56,2.05,72.24,False
KEIBAJO_SURFACE_01_芝,kyori_kubun+pace_yoso+kyakushitsu,kyori_kubun,pace_yoso,kyakushitsu,40,9268,74.69,7.95,72.23,False
KEIBAJO_SURFACE_01_芝,manken_shirushi+uma_start_shisu+umakigo_code,manken_shirushi,uma_start_shisu,umakigo_code,8,1576,78.41,8.95,72.21,False
KEIBAJO_SURFACE_01_芝,joken_class_code+kakutoku_shokin_ruikei+umakigo_code,joken_class_code,kakutoku_shokin_ruikei,umakigo_code,3,1736,72.89,0.62,72.2,False
KEIBAJO_SURFACE_01_芝,pace_yoso+uma_deokure_ritsu+joshodo_code,pace_yoso,uma_deokure_ritsu,joshodo_code,21,5459,77.8,13.13,72.19,False
KEIBAJO_SURFACE_01_芝,hizume_code+joshodo_code+ten_shisu_juni,hizume_code,joshodo_code,ten_shisu_juni,30,3783,75.77,10.01,72.19,False
