phase,segment,combo,adoption_level,reason,total_bins,min_bin_n,median_bin_n,eff_min_bin_n,ratio_1_9,ratio_10_99,ratio_500_plus,small_headcount_sensitive,all_existing_bins_ge_150,all_existing_bins_ge_300,all_existing_bins_ge_500,reviewer_comment
2,KEIBAJO_SURFACE_01_芝,kyori_tekisei_2+ninki_shisu_decile,reject,too many bins (40); combo splits data too finely,40,1,42.5,1,0.325,0.575,0.0,False,False,False,False,13 bins with n<10
2,KEIBAJO_SURFACE_01_芝,pace_shisu_juni+gekiso_juni,reject,too many bins (255); combo splits data too finely,255,2,32.0,2,0.1373,0.8314,0.0,True,False,False,False,35 bins with n<10; 60 SHS tail bins excluded from eff. check; only 255/324 possible bins observed
2,KEIBAJO_SURFACE_01_芝_新馬,kijun_ninkijun_tansho+sogo_shisu_decile,reject,too many bins (112); combo splits data too finely,112,1,14.0,1,0.3839,0.5893,0.0,False,False,False,False,43 bins with n<10
2,KEIBAJO_SURFACE_01_芝_条件戦,bataiju_zogen+idm_decile,reject,too many bins (179); combo splits data too finely,179,1,5.0,1,0.6034,0.3743,0.0,False,False,False,False,108 bins with n<10
2,KEIBAJO_SURFACE_01_芝_条件戦,gekiso_juni+chokyo_shisu_decile,reject,too many bins (159); combo splits data too finely,159,1,20.0,1,0.2642,0.717,0.0,True,False,False,False,42 bins with n<10; 39 SHS tail bins excluded from eff. check
2,KEIBAJO_SURFACE_01_芝_条件戦,gekiso_juni+ninki_shisu_decile,reject,too many bins (155); combo splits data too finely,155,1,20.0,1,0.2903,0.6903,0.0,True,False,False,False,45 bins with n<10; 37 SHS tail bins excluded from eff. check
2,KEIBAJO_SURFACE_02_ダ,agari_shisu_juni+chokyo_shisu_decile,reject,too many bins (140); combo splits data too finely,140,1,34.5,5,0.1071,0.8714,0.0,True,False,False,False,15 bins with n<10; 20 SHS tail bins excluded from eff. check
2,KEIBAJO_SURFACE_02_ダ,agari_shisu_juni+kishu_kitai_rentai_decile,reject,too many bins (129); combo splits data too finely,129,1,44.0,1,0.2093,0.7519,0.0,True,False,False,False,27 bins with n<10; 18 SHS tail bins excluded from eff. check
2,KEIBAJO_SURFACE_02_ダ,agari_shisu_juni+kishu_kitai_tansho_decile,reject,too many bins (129); combo splits data too finely,129,1,42.0,1,0.1783,0.7984,0.0,True,False,False,False,23 bins with n<10; 18 SHS tail bins excluded from eff. check
2,KEIBAJO_SURFACE_02_ダ,agari_shisu_juni+kishu_shisu_decile,reject,too many bins (132); combo splits data too finely,132,1,41.0,1,0.1742,0.803,0.0,True,False,False,False,23 bins with n<10; 18 SHS tail bins excluded from eff. check
