phase,segment,combo,bin_key,n_horses,tansho_n,tansho_hit_rate,tansho_roi_raw,tansho_roi_corr,fukusho_n,fukusho_hit_rate,fukusho_roi_raw,fukusho_roi_corr,combo_clb,combo_mean_roi
1,GLOBAL,joho_shisu,4.3,1389,1389,35.06,84.33,83.52,1389,65.44,85.09,87.26,75.58,77.86
1,GLOBAL,joho_shisu,3.8,3188,3188,29.99,85.3,85.05,3188,62.23,86.65,87.22,75.58,77.86
1,GLOBAL,joho_shisu,5.0,280,280,32.86,79.61,79.55,280,62.86,83.71,86.81,75.58,77.86
1,GLOBAL,joho_shisu,4.8,546,546,35.71,75.11,81.84,546,65.02,81.72,86.57,75.58,77.86
1,GLOBAL,joho_shisu,4.0,2474,2474,31.61,80.62,81.31,2474,63.26,85.04,86.52,75.58,77.86
1,GLOBAL,joho_shisu,3.9,2795,2795,31.23,82.98,83.17,2795,62.5,85.16,86.25,75.58,77.86
1,GLOBAL,joho_shisu,4.1,2215,2215,32.64,80.58,78.85,2215,64.2,83.9,85.92,75.58,77.86
1,GLOBAL,joho_shisu,5.1,351,351,31.34,81.82,81.55,351,60.97,88.35,85.62,75.58,77.86
1,GLOBAL,joho_shisu,5.7,55,55,38.18,78.55,86.45,55,63.64,80.55,84.99,75.58,77.86
1,GLOBAL,joho_shisu,3.5,3962,3962,24.08,79.11,80.18,3962,55.98,84.01,82.91,75.58,77.86
1,GLOBAL,joho_shisu,3.7,3414,3414,25.72,76.18,77.76,3414,57.62,82.22,82.88,75.58,77.86
1,GLOBAL,joho_shisu,3.6,3846,3846,23.11,72.07,72.82,3846,56.58,81.6,81.89,75.58,77.86
1,GLOBAL,joho_shisu,3.4,4332,4332,22.18,77.42,78.83,4332,53.86,82.14,81.71,75.58,77.86
1,GLOBAL,joho_shisu,3.2,4852,4852,20.86,83.86,82.77,4852,51.11,83.26,81.51,75.58,77.86
1,GLOBAL,joho_shisu,5.3,148,148,28.38,66.01,69.28,148,60.14,80.27,81.03,75.58,77.86
1,GLOBAL,joho_shisu,3.3,4422,4422,21.33,77.56,78.24,4422,52.13,82.14,80.9,75.58,77.86
1,GLOBAL,joho_shisu,3.1,4961,4961,18.5,77.2,77.06,4961,49.0,81.21,79.65,75.58,77.86
1,GLOBAL,joho_shisu,2.9,5264,5264,17.08,77.86,80.07,5264,46.31,81.18,79.39,75.58,77.86
1,GLOBAL,joho_shisu,2.6,5732,5732,15.54,84.16,84.76,5732,42.64,80.71,78.87,75.58,77.86
1,GLOBAL,joho_shisu,2.7,5605,5605,14.9,75.88,77.12,5605,43.75,79.94,78.81,75.58,77.86
1,GLOBAL,joho_shisu,2.5,5804,5804,14.08,86.65,81.96,5804,41.09,80.69,78.65,75.58,77.86
1,GLOBAL,joho_shisu,2.3,6129,6129,12.4,78.75,79.74,6129,38.7,80.47,78.08,75.58,77.86
1,GLOBAL,joho_shisu,3.0,5165,5165,17.52,76.52,77.52,5165,46.56,78.32,77.73,75.58,77.86
1,GLOBAL,joho_shisu,2.8,5513,5513,15.76,79.93,77.85,5513,43.61,79.73,76.67,75.58,77.86
1,GLOBAL,joho_shisu,1.7,6263,6263,8.64,76.55,76.07,6263,31.23,82.05,75.77,75.58,77.86
1,GLOBAL,joho_shisu,2.1,5999,5999,11.07,80.64,79.21,5999,35.06,77.31,74.79,75.58,77.86
1,GLOBAL,joho_shisu,2.0,6214,6214,10.33,77.91,78.44,6214,33.71,78.46,74.42,75.58,77.86
1,GLOBAL,joho_shisu,1.9,6319,6319,10.06,78.71,79.29,6319,32.95,78.61,74.36,75.58,77.86
1,GLOBAL,joho_shisu,2.2,6163,6163,10.71,74.86,73.21,6163,35.47,77.38,73.73,75.58,77.86
1,GLOBAL,joho_shisu,1.8,6067,6067,9.68,80.41,82.15,6067,31.56,78.38,73.69,75.58,77.86
1,GLOBAL,joho_shisu,1.3,6341,6341,6.95,76.45,77.56,6341,26.46,80.94,73.35,75.58,77.86
1,GLOBAL,joho_shisu,2.4,5892,5892,11.98,70.89,73.34,5892,37.41,75.85,73.34,75.58,77.86
1,GLOBAL,joho_shisu,1.6,6242,6242,8.36,74.56,78.86,6242,28.98,76.61,72.0,75.58,77.86
1,GLOBAL,joho_shisu,0.8,5158,5158,5.91,85.44,82.83,5158,22.31,81.35,70.89,75.58,77.86
1,GLOBAL,joho_shisu,1.5,6520,6520,7.55,79.8,74.17,6520,27.42,76.57,70.49,75.58,77.86
1,GLOBAL,joho_shisu,1.2,5886,5886,6.83,82.62,80.07,5886,24.69,78.27,70.43,75.58,77.86
1,GLOBAL,joho_shisu,1.4,6100,6100,6.98,71.47,73.75,6100,26.21,75.87,69.89,75.58,77.86
1,GLOBAL,joho_shisu,0.3,5025,5025,4.86,86.58,82.92,5025,19.1,81.45,69.49,75.58,77.86
1,GLOBAL,joho_shisu,0.7,5177,5177,5.35,75.99,79.28,5177,21.13,80.44,69.18,75.58,77.86
1,GLOBAL,joho_shisu,0.9,5271,5271,6.01,80.93,81.82,5271,22.1,76.99,68.7,75.58,77.86
1,GLOBAL,joho_shisu,1.0,5507,5507,6.32,76.88,79.63,5507,22.73,77.13,68.1,75.58,77.86
1,GLOBAL,joho_shisu,1.1,5584,5584,6.09,72.87,75.86,5584,22.99,73.11,67.77,75.58,77.86
1,GLOBAL,joho_shisu,0.6,5123,5123,5.35,82.23,81.47,5123,19.97,76.3,67.39,75.58,77.86
1,GLOBAL,joho_shisu,0.5,5057,5057,4.47,68.5,71.87,5057,19.44,78.54,67.05,75.58,77.86
1,GLOBAL,joho_shisu,0.1,4920,4920,4.47,79.87,83.11,4920,17.66,83.0,66.95,75.58,77.86
1,GLOBAL,joho_shisu,0.4,5007,5007,4.95,86.29,81.91,5007,18.59,77.52,65.81,75.58,77.86
1,GLOBAL,joho_shisu,0.2,5176,5176,4.33,75.25,77.11,5176,17.45,75.3,65.31,75.58,77.86
1,GLOBAL,joho_shisu,0.0,106910,106910,3.11,79.84,84.9,106910,12.77,77.51,61.82,75.58,77.86
1,GLOBAL,joho_shisu,-1.0,34093,34093,1.9,80.49,85.62,34093,8.66,77.92,57.95,75.58,77.86
1,GLOBAL,kishu_kitai_tansho_ritsu,0.2,296,296,1.35,99.46,103.13,296,7.09,104.93,175.22,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,0.3,412,412,0.73,52.65,56.2,412,3.88,48.54,109.15,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,36.7,64,64,46.88,93.91,93.95,64,81.25,98.44,100.94,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,25.3,133,133,31.58,101.13,100.32,133,70.68,99.7,100.69,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,33.1,67,67,37.31,83.13,83.43,67,80.6,97.46,99.66,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,54.1,55,55,63.64,86.55,82.6,55,87.27,93.45,99.33,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,35.1,77,77,37.66,80.52,80.23,77,81.82,98.05,99.16,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,42.4,71,71,52.11,91.27,90.62,71,84.51,94.65,98.78,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,40.5,90,90,58.89,104.44,105.42,90,84.44,94.89,98.48,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,35.5,78,78,32.05,68.72,65.89,78,80.77,95.26,98.47,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,37.9,57,57,50.88,91.58,93.21,57,82.46,94.04,98.44,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,29.4,75,75,38.67,98.67,102.7,75,74.67,97.47,98.06,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,42.0,112,112,50.0,86.61,87.07,112,83.93,94.64,97.97,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,34.7,65,65,36.92,84.46,80.63,65,78.46,93.54,97.52,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,33.7,83,83,40.96,86.02,95.58,83,78.31,96.39,97.03,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,35.9,54,54,38.89,75.0,78.02,54,81.48,94.44,96.92,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,54.0,75,75,53.33,74.93,71.21,75,85.33,92.13,96.83,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,53.9,51,51,54.9,79.61,75.85,51,84.31,91.57,96.12,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,35.4,76,76,46.05,97.24,95.63,76,80.26,96.71,96.08,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,33.5,69,69,36.23,90.0,87.09,69,76.81,96.38,95.87,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,37.8,82,82,40.24,79.76,82.04,82,80.49,94.63,95.83,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,40.4,61,61,47.54,86.07,84.7,61,81.97,93.77,95.74,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,36.8,51,51,33.33,62.55,61.78,51,78.43,90.98,95.56,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,36.4,66,66,42.42,88.18,89.2,66,77.27,92.27,95.21,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,41.6,242,242,38.43,70.37,69.48,242,80.99,91.61,94.82,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,30.1,95,95,25.26,62.21,62.95,95,71.58,92.21,94.6,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,39.1,59,59,47.46,85.42,87.53,59,81.36,92.03,94.22,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,25.4,104,104,27.88,86.63,83.84,104,67.31,94.33,94.13,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,0.7,4359,4359,1.47,74.62,83.82,4359,7.39,82.22,93.76,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,35.8,63,63,42.86,89.68,88.59,63,76.19,89.05,93.37,76.03,77.17
