phase,segment,combo,bin_key,n_horses,tansho_n,tansho_hit_rate,tansho_roi_raw,tansho_roi_corr,fukusho_n,fukusho_hit_rate,fukusho_roi_raw,fukusho_roi_corr,combo_clb,combo_mean_roi
4,SURFACE_2_ダ_条件戦,manken_shirushi+keibajo_code+hizume_code+kyakushitsu,5|09|10|3,130,130,10.77,72.92,88.78,130,36.15,121.54,88.93,80.23,85.22
4,COURSE_27_06_ダ_短距離,manken_shirushi+da_tekisei_code+umakigo_code+gekiso_juni,1|2|00|2.0,148,148,12.16,114.19,119.69,148,29.73,90.47,88.9,88.29,91.5
4,GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun+umakigo_code+kyori_tekisei,2|中距離|00|5,636,636,19.97,68.03,74.42,636,51.1,84.06,88.87,83.16,88.05
4,KEIBAJO_SURFACE_05_芝,kyori_tekisei_2+joken_class_code+uma_deokure_ritsu+shiba_tekisei_code,2|2|0.0|2,148,148,14.86,46.22,90.75,148,39.86,77.7,88.81,80.34,93.42
4,SURFACE_2_ダ_条件戦,pace_yoso+manken_shirushi+keibajo_code+hizume_code,H|1|05|23,132,132,11.36,76.44,67.74,132,36.36,82.73,88.71,80.41,83.35
4,KEIBAJO_SURFACE_09_ダ_条件戦,pace_yoso+omo_tekisei_code+hizume_code+pace_shisu_juni,M|2|10|1.0,140,140,20.0,89.5,86.61,140,49.29,87.0,88.64,80.38,87.25
4,COURSE_27_05_ダ_マイル,da_tekisei_code+joshodo_code+ten_shisu_juni+pace_shisu_juni,2|3|1.0|2.0,175,175,16.0,112.97,90.26,175,40.0,105.71,88.57,80.29,84.66
4,GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+kyori_kubun+umakigo_code,2|M|中距離|00,278,278,21.22,70.9,76.34,278,52.88,82.19,88.57,81.25,87.4
4,KEIBAJO_SURFACE_07_ダ,manken_shirushi+da_tekisei_code+uma_deokure_ritsu+kyori_tekisei,2|2|0.0|2,167,167,20.96,119.34,90.22,167,45.51,86.05,88.49,80.03,83.6
4,GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+kyori_kubun+kyori_tekisei,2|H|中距離|5,334,334,17.37,61.17,72.06,334,47.9,82.31,88.3,81.49,89.35
4,COURSE_27_06_ダ_短距離,pace_yoso+manken_shirushi+da_tekisei_code+gekiso_juni,H|1|2|2.0,141,141,12.06,117.59,119.96,141,29.08,87.23,88.28,82.81,87.39
4,KEIBAJO_SURFACE_05_芝,kyori_tekisei_2+omo_tekisei_code+kyori_tekisei+uma_deokure_ritsu,2|3|5|0.0,176,176,15.34,47.39,81.17,176,40.34,79.94,88.07,87.14,89.45
4,KEIBAJO_SURFACE_05_芝,kyori_tekisei_2+kyori_kubun+kyori_tekisei+uma_deokure_ritsu,3|長距離|2|0.0,163,163,17.18,65.4,84.4,163,44.17,80.92,88.04,81.92,86.53
4,GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+umakigo_code+uma_start_shisu,2|M|00|0.0,138,138,21.74,68.41,77.78,138,51.45,81.88,87.84,91.43,93.21
4,GLOBAL_条件戦,kyori_tekisei_2+uma_deokure_ritsu+kyori_kubun+kyori_tekisei,5|0.0|短距離|1,196,196,26.02,75.46,84.55,196,53.57,88.16,87.72,85.4,88.47
4,KEIBAJO_SURFACE_09_ダ_未勝利,omo_tekisei_code+kyori_tekisei+kyakushitsu+uma_start_shisu,1|2|3|0.0,133,133,9.77,61.65,80.13,133,33.08,96.69,87.68,89.61,91.42
4,SURFACE_2_ダ_条件戦,pace_yoso+manken_shirushi+keibajo_code+hizume_code,M|5|09|10,175,175,13.71,73.6,98.56,175,38.29,91.54,87.67,80.41,83.35
4,GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun+umakigo_code+kyori_tekisei,5|マイル|00|1,223,223,21.08,111.03,79.46,223,51.12,82.02,87.55,83.16,88.05
4,GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun+umakigo_code+kyori_tekisei,5|短距離|00|1,378,378,23.28,63.54,78.63,378,52.65,83.41,87.54,83.16,88.05
4,COURSE_27_07_芝_中距離,uma_deokure_ritsu+pace_yoso+shiba_tekisei_code+tenkai_kigo_code,0.0|H|2|0,155,155,10.32,136.58,78.77,155,34.84,107.61,87.46,80.6,84.25
4,SURFACE_2_芝_条件戦,kyori_tekisei_2+kyori_tekisei+kyakushitsu+joshodo_code,2|5|2|3,235,235,18.72,60.43,74.36,235,49.79,77.28,87.4,82.32,84.93
4,KEIBAJO_SURFACE_02_芝_条件戦,kyori_kubun+kyori_tekisei+uma_start_shisu+uma_deokure_ritsu,短距離|0|0.0|0.0,180,180,8.89,85.89,109.06,180,28.89,104.39,87.29,80.66,87.69
4,SURFACE_2_芝_条件戦,kyori_tekisei_2+kyori_kubun+kyori_tekisei+joshodo_code,5|短距離|1|3,155,155,21.29,71.48,90.08,155,46.45,82.32,87.21,85.43,88.74
4,KEIBAJO_SURFACE_07_ダ,manken_shirushi+da_tekisei_code+uma_deokure_ritsu+kyori_tekisei,1|2|0.0|2,168,168,18.45,96.31,85.27,168,41.67,98.04,87.12,80.03,83.6
4,COURSE_27_06_ダ_短距離,manken_shirushi+da_tekisei_code+umakigo_code+gekiso_juni,1|2|00|1.0,298,298,23.49,77.42,96.44,298,43.96,73.69,87.05,88.29,91.5
4,SURFACE_2_ダ_条件戦,pace_yoso+manken_shirushi+keibajo_code+hizume_code,H|2|06|23,161,161,19.88,67.76,99.03,161,42.24,75.9,86.92,80.41,83.35
4,KEIBAJO_SURFACE_09_ダ_条件戦,uma_deokure_ritsu+omo_tekisei_code+manken_shirushi+hizume_code,0.0|2|2|10,165,165,16.36,78.24,69.11,165,46.67,87.09,86.91,81.22,86.45
4,COURSE_27_09_ダ_中距離,omo_tekisei_code+joken_class_code+rotation+kijun_ninkijun_tansho,2|0|2.0|1,135,135,26.67,62.15,58.99,135,69.63,86.15,86.87,81.44,86.42
4,KEIBAJO_SURFACE_01_ダ,pace_yoso+kyakushitsu+kyori_tekisei+hizume_code,H|2|2|10,146,146,12.33,67.53,76.97,146,36.3,90.89,86.84,84.25,88.44
4,KEIBAJO_SURFACE_07_芝,joken_class_code+agari_shisu_juni+ichi_shisu_juni+pace_shisu_juni,0|1.0|1.0|1.0,178,178,33.15,86.18,89.25,178,63.48,86.63,86.75,80.73,87.59
4,KEIBAJO_SURFACE_07_芝_条件戦,kyori_tekisei+pace_shisu_juni+ichi_shisu_juni+agari_shisu_juni,0|1.0|1.0|1.0,178,178,33.15,86.18,89.25,178,63.48,86.63,86.75,80.26,87.5
4,KEIBAJO_SURFACE_07_芝_条件戦,kyori_tekisei+pace_shisu_juni+kakutoku_shokin_ruikei+agari_shisu_juni,0|1.0|0|1.0,178,178,33.15,86.18,89.25,178,63.48,86.63,86.75,80.76,86.8
