segment,n_rows,p1_factors,n_combos_eval,n_pass,best_clb,best_factors,best_mean_roi
KEIBAJO_SURFACE_05_芝_OP重賞,2734,25,444,4,84.6,kyori_tekisei+tenkai_kigo_code+agari_shisu_juni,89.88
KEIBAJO_SURFACE_05_芝_新馬,5346,25,1042,0,79.26,hizume_code+class_code+agari_shisu_juni,86.26
KEIBAJO_SURFACE_05_芝_未勝利,3663,25,513,3,82.29,omo_tekisei_code+rotation_bin+hizume_code,84.78
KEIBAJO_SURFACE_05_芝_条件戦,10252,25,1317,73,92.66,ls_shisu_juni+gekiso_juni+kishu_kitai_rentai_decile,94.37
KEIBAJO_SURFACE_06_ダ,30839,25,1671,59,92.45,ls_shisu_juni+pace_shisu_juni+gekiso_juni,96.35
KEIBAJO_SURFACE_06_ダ_1勝クラス,1910,25,93,0,72.76,umakigo_code+ls_shisu_juni+uma_deokure_bin,82.17
KEIBAJO_SURFACE_06_ダ_OP重賞,1424,25,5,0,64.37,kishu_kitai_rentai_decile+kishu_kitai_tansho_decile+kishu_shisu_decile,71.98
KEIBAJO_SURFACE_06_ダ_新馬,8731,25,1139,2,84.38,kishu_minarai_code+pace_shisu_juni+kijun_ninkijun_tansho,91.57
KEIBAJO_SURFACE_06_ダ_未勝利,4527,25,520,0,79.08,kyori_kubun+ten_shisu_juni+tenkai_kigo_code,82.82
KEIBAJO_SURFACE_06_ダ_条件戦,14247,25,1319,71,95.25,tenkai_kigo_code+kijun_ninkijun_tansho+gekiso_juni,100.11
KEIBAJO_SURFACE_06_芝,22719,25,1766,16,93.9,ten_shisu_juni+gekiso_juni+pace_shisu_juni,95.82
KEIBAJO_SURFACE_06_芝_1勝クラス,2216,25,54,0,78.99,uma_start_shisu_decile+omo_tekisei_code+tenkai_kigo_code,80.15
KEIBAJO_SURFACE_06_芝_OP重賞,2754,25,372,3,87.5,ten_shisu_juni+tenkai_kigo_code+idm_decile,94.22
KEIBAJO_SURFACE_06_芝_新馬,5378,25,748,6,86.41,agari_shisu_juni+kishu_minarai_code+kishu_kitai_rentai_decile,86.9
KEIBAJO_SURFACE_06_芝_未勝利,4034,25,449,0,79.59,bataiju_zogen+kyori_tekisei+idm_decile,85.24
KEIBAJO_SURFACE_06_芝_条件戦,8337,25,1074,7,92.51,agari_shisu_juni+joho_shisu_decile+kijun_ninkijun_tansho,96.6
KEIBAJO_SURFACE_07_ダ,21346,25,1727,4,86.18,joken_class_code+bataiju+kyori_tekisei,90.41
KEIBAJO_SURFACE_07_ダ_1勝クラス,1107,20,11,0,65.21,tenkai_kigo_code+kyori_kubun+idm_decile,78.35
KEIBAJO_SURFACE_07_ダ_新馬,8487,25,1095,6,83.74,umakigo_code+agari_shisu_juni+chokyo_shisu_decile,87.16
KEIBAJO_SURFACE_07_ダ_未勝利,2609,25,302,0,78.34,omo_tekisei_code+ten_shisu_juni+umakigo_code,82.17
KEIBAJO_SURFACE_07_ダ_条件戦,8251,25,1418,3,91.63,pace_yoso+manken_shirushi+kyakushitsu,100.41
KEIBAJO_SURFACE_07_芝,17129,25,1757,8,87.04,agari_shisu_juni+ichi_shisu_juni+ten_shisu_juni,89.26
KEIBAJO_SURFACE_07_芝_1勝クラス,1126,19,2,0,76.7,joho_shisu_decile+kishu_shisu_decile+kishu_kitai_tansho_decile,84.9
KEIBAJO_SURFACE_07_芝_OP重賞,1337,25,23,0,70.62,kyori_tekisei+kyakushitsu+tenkai_kigo_code,77.92
KEIBAJO_SURFACE_07_芝_新馬,5768,25,905,1,81.21,manken_shirushi+class_code+uma_start_shisu_decile,88.35
KEIBAJO_SURFACE_07_芝_未勝利,2322,25,187,2,80.82,kyori_tekisei+kishu_kitai_tansho_decile+kishu_shisu_decile,84.31
KEIBAJO_SURFACE_07_芝_条件戦,6576,25,964,27,89.27,ten_shisu_juni+kishu_minarai_code+kishu_kitai_rentai_decile,92.49
KEIBAJO_SURFACE_08_ダ,21508,25,1933,7,89.23,manken_shirushi+kyori_tekisei+idm_decile,90.5
KEIBAJO_SURFACE_08_ダ_1勝クラス,1649,25,28,0,75.54,rotation_bin+kyori_kubun+kyori_tekisei,79.56
KEIBAJO_SURFACE_08_ダ_OP重賞,1236,21,8,0,65.07,kishu_kitai_rentai_decile+kishu_kitai_tansho_decile+kishu_shisu_decile,73.49
KEIBAJO_SURFACE_08_ダ_新馬,6045,25,828,3,81.52,tenkai_kigo_code+kishu_shisu_decile+agari_shisu_juni,84.22
KEIBAJO_SURFACE_08_ダ_未勝利,3569,25,309,0,79.58,kyakushitsu+kishu_shisu_decile+ninki_shisu_decile,81.39
KEIBAJO_SURFACE_08_ダ_条件戦,9009,25,1510,9,84.92,omo_tekisei_code+rotation_bin+ten_shisu_juni,88.52
KEIBAJO_SURFACE_08_芝,17759,25,1774,10,88.34,kyori_kubun+joken_class_code+bataiju,96.86
KEIBAJO_SURFACE_08_芝_1勝クラス,1747,25,21,0,69.06,kyori_kubun+kyori_tekisei+uma_start_shisu_decile,79.16
KEIBAJO_SURFACE_08_芝_OP重賞,2175,25,75,0,78.88,kyori_kubun+kyori_tekisei+manken_shisu_decile,82.58
KEIBAJO_SURFACE_08_芝_新馬,3700,25,511,0,78.95,rotation_bin+kishu_shisu_decile+kishu_kitai_tansho_decile,83.07
KEIBAJO_SURFACE_08_芝_未勝利,2920,25,249,1,81.25,kyori_tekisei+agari_shisu_juni+shiba_tekisei_code,84.95
KEIBAJO_SURFACE_08_芝_条件戦,7217,25,1095,17,86.04,manken_shisu_decile+kijun_ninkijun_tansho+kishu_kitai_rentai_decile,90.87
KEIBAJO_SURFACE_09_ダ,27915,25,2006,23,91.21,hizume_code+pace_shisu_juni+gekiso_juni,93.14
KEIBAJO_SURFACE_09_ダ_1勝クラス,1986,25,131,0,75.29,kishu_kitai_rentai_decile+kishu_kitai_tansho_decile+ninki_shisu_decile,79.9
KEIBAJO_SURFACE_09_ダ_OP重賞,1391,25,15,0,73.02,kyori_kubun+tenkai_kigo_code+kyakushitsu,75.26
KEIBAJO_SURFACE_09_ダ_新馬,7843,25,1110,7,88.23,manken_shirushi+kishu_minarai_code+kyusha_shisu_decile,89.56
KEIBAJO_SURFACE_09_ダ_未勝利,4327,25,528,1,80.36,kyori_kubun+omo_tekisei_code+manken_shirushi,83.99
KEIBAJO_SURFACE_09_ダ_条件戦,12368,25,1643,70,92.07,manken_shirushi+joho_shisu_decile+kishu_shisu_decile,95.67
KEIBAJO_SURFACE_09_芝,21956,25,1882,5,87.42,manken_shirushi+pace_shisu_juni+ten_shisu_juni,90.36
KEIBAJO_SURFACE_09_芝_1勝クラス,2312,25,122,1,81.98,kyori_kubun+kyori_tekisei_2+shiba_tekisei_code,85.93
KEIBAJO_SURFACE_09_芝_OP重賞,2721,25,286,0,79.72,hizume_code+tenkai_kigo_code+kyori_kubun,88.51
KEIBAJO_SURFACE_09_芝_新馬,4951,25,663,2,87.02,pace_yoso+uma_start_shisu_decile+ten_shisu_juni,93.38
KEIBAJO_SURFACE_09_芝_未勝利,3411,25,577,1,80.13,class_code+pace_shisu_juni+kyakushitsu,84.32
KEIBAJO_SURFACE_09_芝_条件戦,8561,25,1182,47,89.67,gekiso_juni+joho_shisu_decile+kishu_kitai_rentai_decile,91.69
KEIBAJO_SURFACE_10_ダ,10096,25,1462,3,82.62,uma_start_shisu_decile+ten_shisu_juni+class_code,91.98
KEIBAJO_SURFACE_10_ダ_新馬,3992,25,438,0,78.27,manken_shirushi+kyori_kubun+kyori_tekisei,82.54
KEIBAJO_SURFACE_10_ダ_未勝利,1323,21,10,0,65.94,omo_tekisei_code+idm_decile+sogo_shisu_decile,69.84
KEIBAJO_SURFACE_10_ダ_条件戦,4022,25,523,3,85.11,omo_tekisei_code+kyakushitsu+kishu_shisu_decile,94.12
KEIBAJO_SURFACE_10_芝,16948,25,1747,2,83.96,kyori_tekisei_2+shiba_tekisei_code+bataiju_zogen,93.25
KEIBAJO_SURFACE_10_芝_新馬,5703,25,866,1,81.53,manken_shirushi+kyakushitsu+manken_shisu_decile,87.17
KEIBAJO_SURFACE_10_芝_未勝利,1773,25,105,0,78.33,chokyo_shisu_decile+joho_shisu_decile+shiba_tekisei_code,83.83
KEIBAJO_SURFACE_10_芝_条件戦,8097,25,1190,7,95.71,joshodo_code+manken_shisu_decile+agari_shisu_juni,99.53
SURFACE_2_ダ,177971,25,2187,18,88.53,bataiju+kijun_ninkijun_tansho+agari_shisu_juni,92.42
SURFACE_2_ダ_1勝クラス,10462,25,894,2,80.99,uma_deokure_bin+ten_shisu_juni+uma_start_shisu_decile,86.34
SURFACE_2_ダ_OP重賞,7658,25,914,3,85.15,bataiju_zogen+ls_shisu_juni+rotation_bin,86.6
SURFACE_2_ダ_新馬,57835,25,1875,20,85.19,ichi_shisu_juni+ten_shisu_juni+gekiso_juni,88.17
SURFACE_2_ダ_未勝利,25254,25,1734,9,87.13,keibajo_code+hizume_code+kijun_ninkijun_tansho,91.41
SURFACE_2_ダ_条件戦,76762,25,2110,32,91.65,kishu_kitai_sanchakunai_ritsu+ten_shisu_juni+kijun_ninkijun_tansho,93.76
SURFACE_2_芝,170977,25,2261,5,84.5,bataiju+kijun_ninkijun_tansho+pace_shisu_juni,86.98
SURFACE_2_芝_1勝クラス,12680,25,1401,0,79.63,pace_shisu_juni+tenkai_kigo_code+agari_shisu_juni,83.81
SURFACE_2_芝_OP重賞,15771,25,1550,4,80.82,uma_deokure_bin+ten_shisu_juni+ichi_shisu_juni,87.99
SURFACE_2_芝_新馬,47181,25,1910,5,81.97,keibajo_code+kijun_ninkijun_tansho+agari_shisu_juni,87.86
SURFACE_2_芝_未勝利,23911,25,1965,1,80.75,kyori_tekisei+ten_shisu_juni+kijun_ninkijun_tansho,86.99
SURFACE_2_芝_条件戦,71434,25,1839,34,88.86,kyori_tekisei_2+kyori_kubun+class_code,90.86
