phase,segment,combo,total_bins,bins_1_9,bins_10_99,bins_100plus,min_bin_n,max_bin_n,mean_bin_n,median_bin_n,ratio_bins_1_9,ratio_bins_10_99,ratio_bins_100plus,has_any_1digit_bin,has_any_2digit_bin
2,KEIBAJO_SURFACE_05_芝,nyukyu_nannichimae+kijun_ninkijun_tansho,967,585,372,10,1,129,15.4,5.0,0.605,0.3847,0.0103,True,True
2,KEIBAJO_SURFACE_05_芝_OP重賞,kyori_tekisei+agari_shisu_juni,91,40,46,5,1,125,30.0,17.0,0.4396,0.5055,0.0549,True,True
2,KEIBAJO_SURFACE_05_芝_条件戦,pace_shisu_juni+gekiso_juni,318,93,211,14,1,224,32.2,19.0,0.2925,0.6635,0.044,True,True
2,KEIBAJO_SURFACE_05_芝_条件戦,agari_shisu_juni+gekiso_juni,321,82,223,16,1,216,31.9,21.0,0.2555,0.6947,0.0498,True,True
2,KEIBAJO_SURFACE_05_芝_条件戦,manken_shirushi+ten_shisu_juni,144,14,122,8,3,170,49.0,42.0,0.0972,0.8472,0.0556,True,True
2,KEIBAJO_SURFACE_06_ダ,manken_shirushi+nyukyu_nannichimae,523,285,234,4,1,104,19.1,8.0,0.5449,0.4474,0.0076,True,True
2,KEIBAJO_SURFACE_06_ダ,manken_shisu+gekiso_juni,917,266,645,6,1,114,32.7,28.0,0.2901,0.7034,0.0065,True,True
2,KEIBAJO_SURFACE_06_ダ_新馬,pace_shisu_juni+kijun_ninkijun_tansho,255,39,213,3,1,128,34.2,32.0,0.1529,0.8353,0.0118,True,True
2,KEIBAJO_SURFACE_06_ダ_未勝利,hizume_code+rotation,432,321,107,4,1,185,10.5,3.0,0.7431,0.2477,0.0093,True,True
2,KEIBAJO_SURFACE_06_ダ_未勝利,ls_shisu_juni+rotation,308,201,103,4,1,185,14.7,3.0,0.6526,0.3344,0.013,True,True
2,KEIBAJO_SURFACE_06_ダ_条件戦,gekiso_juni+pace_shisu_juni,256,3,228,25,2,325,55.7,44.5,0.0117,0.8906,0.0977,True,True
2,KEIBAJO_SURFACE_06_ダ_条件戦,agari_shisu_juni+gekiso_juni,256,0,235,21,10,233,55.7,49.0,0.0,0.918,0.082,False,True
2,KEIBAJO_SURFACE_06_ダ_条件戦,gekiso_juni+ten_shisu_juni,256,0,233,23,10,259,55.7,46.0,0.0,0.9102,0.0898,False,True
2,KEIBAJO_SURFACE_06_ダ_条件戦,manken_shirushi+agari_shisu_juni,128,0,103,25,11,283,72.1,64.5,0.0,0.8047,0.1953,False,True
2,KEIBAJO_SURFACE_06_ダ_条件戦,manken_shirushi+ten_shisu_juni,128,0,103,25,16,166,72.1,73.5,0.0,0.8047,0.1953,False,True
2,KEIBAJO_SURFACE_06_ダ_条件戦,manken_shirushi+pace_shisu_juni,128,0,100,28,11,188,72.1,71.0,0.0,0.7812,0.2188,False,True
2,KEIBAJO_SURFACE_06_芝_OP重賞,manken_shirushi+tenkai_kigo_code,40,2,33,5,8,124,42.1,28.0,0.05,0.825,0.125,True,True
2,KEIBAJO_SURFACE_06_芝_新馬,idm+kyori_tekisei,678,560,115,3,1,110,7.9,2.0,0.826,0.1696,0.0044,True,True
2,KEIBAJO_SURFACE_06_芝_条件戦,manken_shirushi+rotation,224,130,86,8,1,129,16.3,6.0,0.5804,0.3839,0.0357,True,True
2,KEIBAJO_SURFACE_06_芝_条件戦,gekiso_juni+kijun_ninkijun_tansho,280,86,186,8,1,274,29.8,21.0,0.3071,0.6643,0.0286,True,True
2,KEIBAJO_SURFACE_06_芝_条件戦,agari_shisu_juni+gekiso_juni,307,64,240,3,1,135,27.2,22.0,0.2085,0.7818,0.0098,True,True
2,KEIBAJO_SURFACE_06_芝_条件戦,manken_shirushi+pace_shisu_juni,141,16,121,4,1,119,38.4,35.0,0.1135,0.8582,0.0284,True,True
2,KEIBAJO_SURFACE_07_ダ_新馬,uma_deokure_ritsu+kishu_kitai_tansho_ritsu,3093,2953,137,3,1,173,2.7,1.0,0.9547,0.0443,0.001,True,True
2,KEIBAJO_SURFACE_07_ダ_新馬,agari_shisu_juni+kijun_ninkijun_tansho,256,47,205,4,1,151,33.2,27.0,0.1836,0.8008,0.0156,True,True
2,KEIBAJO_SURFACE_07_芝_新馬,kyori_kubun+kyusha_shisu,1463,1377,83,3,1,173,3.9,2.0,0.9412,0.0567,0.0021,True,True
2,KEIBAJO_SURFACE_07_芝_条件戦,rotation+ichi_shisu_juni,457,327,127,3,1,117,10.1,4.0,0.7155,0.2779,0.0066,True,True
2,KEIBAJO_SURFACE_07_芝_条件戦,agari_shisu_juni+kijun_ninkijun_tansho,305,132,167,6,1,227,21.6,13.0,0.4328,0.5475,0.0197,True,True
2,KEIBAJO_SURFACE_08_ダ_条件戦,manken_shirushi+agari_shisu_juni,128,11,107,10,2,201,45.1,39.5,0.0859,0.8359,0.0781,True,True
2,KEIBAJO_SURFACE_08_ダ_条件戦,gekiso_juni+agari_shisu_juni,256,18,231,7,5,185,35.2,26.0,0.0703,0.9023,0.0273,True,True
2,KEIBAJO_SURFACE_08_ダ_条件戦,manken_shirushi+pace_shisu_juni,128,8,115,5,4,121,45.1,45.0,0.0625,0.8984,0.0391,True,True
2,KEIBAJO_SURFACE_08_芝_条件戦,pace_shisu_juni+gekiso_juni,317,133,180,4,1,182,22.8,13.0,0.4196,0.5678,0.0126,True,True
2,KEIBAJO_SURFACE_08_芝_条件戦,kishu_minarai_code+tenkai_kigo_code,22,5,14,3,1,151,39.0,17.5,0.2273,0.6364,0.1364,True,True
2,KEIBAJO_SURFACE_09_ダ_条件戦,manken_shirushi+agari_shisu_juni,128,8,102,18,4,274,63.7,60.5,0.0625,0.7969,0.1406,True,True
2,KEIBAJO_SURFACE_09_ダ_条件戦,gekiso_juni+agari_shisu_juni,256,5,235,16,5,267,48.3,39.0,0.0195,0.918,0.0625,True,True
2,KEIBAJO_SURFACE_09_ダ_条件戦,manken_shirushi+pace_shisu_juni,128,1,103,24,8,158,63.7,63.5,0.0078,0.8047,0.1875,True,True
