phase,segment,combo,bin_key,n_horses,sample_bucket,is_existing_bin,is_possible_bin_if_determinable,should_count_for_adoption_judgement,note
1,GLOBAL,kishu_kitai_tansho_ritsu,54.7,22,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,38.2,25,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,41.9,25,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,54.3,26,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,0.0,27,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,43.4,27,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,54.4,28,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,33.2,29,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,43.0,29,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,41.8,29,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,43.1,29,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,33.4,33,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,32.9,33,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,38.4,33,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,38.1,33,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,40.1,34,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,42.9,34,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,38.8,35,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,39.4,36,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,40.0,36,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,41.7,37,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,38.5,37,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,36.9,38,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,54.6,39,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,37.3,40,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,37.1,40,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,38.6,41,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,54.2,41,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,43.3,41,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,32.6,43,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,39.3,43,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,38.7,43,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,54.5,43,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,32.4,45,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,36.3,46,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,32.5,48,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,33.3,49,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,53.9,51,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,32.8,51,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,37.2,51,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,36.8,51,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,32.2,53,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,37.0,53,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,32.3,53,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,43.2,53,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,32.7,54,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,38.0,54,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,35.9,54,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,54.1,55,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,38.9,55,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,40.3,56,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,28.4,57,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,37.9,57,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,39.2,58,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,33.0,59,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,32.0,59,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,39.1,59,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,36.2,60,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,37.4,60,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,30.0,61,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,40.4,61,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,29.9,62,10_99,True,True,True,
