segment,n_rows,p1_factors,n_pairs_eval,n_pass,best_clb,best_factors,best_mean_roi
KEIBAJO_SURFACE_09_ダ_新馬,7843,36,570,0,79.67,agari_shisu_juni+kijun_ninkijun_tansho,86.83
KEIBAJO_SURFACE_09_ダ_未勝利,4327,33,386,0,75.59,bataiju_zogen+kishu_kitai_rentai_decile,85.5
KEIBAJO_SURFACE_09_ダ_条件戦,12368,35,566,5,83.73,manken_shirushi+ten_shisu_juni,86.73
KEIBAJO_SURFACE_09_芝,21956,40,752,2,83.18,bataiju+ninki_shisu_decile,87.94
KEIBAJO_SURFACE_09_芝_1勝クラス,2312,30,246,0,79.67,kyori_tekisei_2+sogo_shisu_decile,84.49
KEIBAJO_SURFACE_09_芝_OP重賞,2721,31,303,3,84.81,kyusha_shisu_decile+ninki_shisu_decile,85.98
KEIBAJO_SURFACE_09_芝_新馬,4951,35,489,2,81.9,gekiso_juni+kyusha_shisu_decile,86.01
KEIBAJO_SURFACE_09_芝_未勝利,3411,33,386,1,81.5,rotation_bin+ninki_shisu_decile,87.0
KEIBAJO_SURFACE_09_芝_条件戦,8561,33,473,1,80.03,manken_shirushi+ten_shisu_juni,85.43
KEIBAJO_SURFACE_10_ダ,10096,39,695,0,79.27,ten_shisu_juni+kijun_ninkijun_tansho,85.84
KEIBAJO_SURFACE_10_ダ_新馬,3992,33,359,1,81.13,ten_shisu_juni+uma_start_shisu_decile,86.84
KEIBAJO_SURFACE_10_ダ_未勝利,1323,21,52,0,69.34,kyori_tekisei+tenkai_kigo_code,82.32
KEIBAJO_SURFACE_10_ダ_条件戦,4022,32,337,0,78.9,kijun_ninkijun_tansho+sogo_shisu_decile,89.22
KEIBAJO_SURFACE_10_芝,16948,40,743,0,76.19,manken_shirushi+uma_start_shisu_decile,80.25
KEIBAJO_SURFACE_10_芝_新馬,5703,35,452,0,74.06,kyori_tekisei_2+kishu_minarai_code,75.48
KEIBAJO_SURFACE_10_芝_未勝利,1773,30,161,0,76.59,kishu_shisu_decile+sogo_shisu_decile,82.0
KEIBAJO_SURFACE_10_芝_条件戦,8097,35,538,4,91.54,manken_shirushi+agari_shisu_juni,95.56
SURFACE_2_ダ,177971,40,780,0,75.43,manken_shirushi+hizume_code,76.94
SURFACE_2_ダ_1勝クラス,10462,37,616,0,76.46,ten_shisu_juni+pace_shisu_juni,81.7
SURFACE_2_ダ_OP重賞,7658,37,580,0,79.46,agari_shisu_juni+kyusha_shisu_decile,83.25
SURFACE_2_ダ_新馬,57835,40,777,0,75.64,manken_shirushi+kyusha_hyoka_code,79.04
SURFACE_2_ダ_未勝利,25254,40,763,0,74.57,bataiju+bataiju_zogen,77.44
SURFACE_2_ダ_条件戦,76762,38,701,0,78.42,uma_deokure_bin+manken_shirushi,80.91
SURFACE_2_芝,170977,40,780,0,74.59,manken_shirushi+pace_yoso,75.51
SURFACE_2_芝_1勝クラス,12680,37,622,0,75.49,kyori_tekisei_2+class_code,77.06
SURFACE_2_芝_OP重賞,15771,39,702,0,77.91,ten_shisu_juni+gekiso_juni,82.46
SURFACE_2_芝_新馬,47181,40,774,0,75.33,manken_shirushi+kyusha_hyoka_code,77.81
SURFACE_2_芝_未勝利,23911,40,756,0,74.4,bataiju+kyusha_shisu_decile,81.49
SURFACE_2_芝_条件戦,71434,38,691,17,91.45,kyori_tekisei_2+chokyo_shisu_decile,94.09
