phase,segment,combo,total_bins,existing_bins,possible_bins_if_determinable,bins_1_9,bins_10_99,bins_100_149,bins_150_299,bins_300_499,bins_500_plus,min_bin_n,max_bin_n,mean_bin_n,median_bin_n,ratio_1_9,ratio_10_99,ratio_500_plus,has_any_1digit_bin,has_any_2digit_bin,all_existing_bins_ge_150,all_existing_bins_ge_300,all_existing_bins_ge_500,eff_min_bin_n,eff_all_ge_150,eff_all_ge_300,eff_all_ge_500,n_shs_tail_bins,small_headcount_sensitive,review_note
4,GLOBAL_条件戦,kyori_tekisei_2+uma_deokure_ritsu+kyori_kubun+umakigo_code,364,364,,310,49,2,3,0,0,1,240,7.1,2.0,0.8516,0.1346,0.0,True,True,False,False,False,1,False,False,False,0,False,310 bins with n<10
4,GLOBAL_条件戦,kyori_tekisei_2+uma_deokure_ritsu+pace_yoso+umakigo_code,330,330,,278,48,0,4,0,0,1,209,7.8,2.5,0.8424,0.1455,0.0,True,True,False,False,False,1,False,False,False,0,False,278 bins with n<10
4,GLOBAL_条件戦,kyori_tekisei_2+uma_deokure_ritsu+umakigo_code+kyori_tekisei,276,276,,222,51,1,0,2,0,1,406,9.4,2.0,0.8043,0.1848,0.0,True,True,False,False,False,1,False,False,False,0,False,222 bins with n<10
4,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+keibajo_code+kyori_tekisei,108,108,1500.0,62,41,5,0,0,0,1,148,23.9,6.0,0.5741,0.3796,0.0,True,True,False,False,False,1,False,False,False,0,False,62 bins with n<10; only 108/1500 possible bins observed
4,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+kyori_tekisei+hizume_code,133,133,600.0,93,33,3,4,0,0,1,223,19.4,4.0,0.6992,0.2481,0.0,True,True,False,False,False,1,False,False,False,0,False,93 bins with n<10; only 133/600 possible bins observed
4,KEIBAJO_SURFACE_01_ダ,pace_yoso+kyakushitsu+kyori_tekisei+hizume_code,606,606,400.0,430,172,4,0,0,0,1,146,10.8,3.0,0.7096,0.2838,0.0,True,True,False,False,False,1,False,False,False,0,False,430 bins with n<10
4,KEIBAJO_SURFACE_02_ダ,joken_class_code+joshodo_code+kyakushitsu+gekiso_juni,323,323,2016.0,189,131,3,0,0,0,1,121,17.0,6.0,0.5851,0.4056,0.0,True,True,False,False,False,1,False,False,False,0,True,189 bins with n<10; only 323/2016 possible bins observed
4,KEIBAJO_SURFACE_02_ダ,joken_class_code+joshodo_code+kyakushitsu+ten_shisu_juni,309,309,2016.0,183,122,4,0,0,0,1,123,17.8,6.0,0.5922,0.3948,0.0,True,True,False,False,False,1,False,False,False,0,True,183 bins with n<10; only 309/2016 possible bins observed
4,KEIBAJO_SURFACE_02_ダ,joken_class_code+kyakushitsu+umakigo_code+gekiso_juni,432,432,3024.0,299,130,3,0,0,0,1,117,12.7,4.0,0.6921,0.3009,0.0,True,True,False,False,False,1,False,False,False,0,True,299 bins with n<10; only 432/3024 possible bins observed
4,KEIBAJO_SURFACE_02_ダ,joshodo_code+kyakushitsu+da_tekisei_code+gekiso_juni,215,215,1440.0,113,98,3,1,0,0,1,179,22.7,6.0,0.5256,0.4558,0.0,True,True,False,False,False,1,False,False,False,0,True,113 bins with n<10; only 215/1440 possible bins observed
4,KEIBAJO_SURFACE_02_ダ,kyori_kubun+pace_yoso+manken_shirushi+da_tekisei_code,133,133,1125.0,65,61,6,1,0,0,1,150,25.5,10.0,0.4887,0.4586,0.0,True,True,False,False,False,1,False,False,False,0,False,65 bins with n<10; only 133/1125 possible bins observed
4,KEIBAJO_SURFACE_02_ダ,pace_yoso+omo_tekisei_code+da_tekisei_code+gekiso_juni,247,247,2250.0,116,128,3,0,0,0,1,116,19.7,11.0,0.4696,0.5182,0.0,True,True,False,False,False,1,False,False,False,0,True,116 bins with n<10; only 247/2250 possible bins observed
4,KEIBAJO_SURFACE_02_芝_条件戦,kyakushitsu+ichi_shisu_juni+agari_shisu_juni+kakutoku_shokin_ruikei,2760,2760,,2747,10,3,0,0,0,1,113,1.4,1.0,0.9953,0.0036,0.0,True,True,False,False,False,1,False,False,False,0,True,2747 bins with n<10
4,KEIBAJO_SURFACE_02_芝_条件戦,kyori_kubun+kyori_tekisei+uma_start_shisu+uma_deokure_ritsu,1091,1091,,1054,34,1,2,0,0,1,180,2.8,1.0,0.9661,0.0312,0.0,True,True,False,False,False,1,False,False,False,0,False,1054 bins with n<10
4,KEIBAJO_SURFACE_02_芝_条件戦,kyori_tekisei+ichi_shisu_juni+agari_shisu_juni+kakutoku_shokin_ruikei,2729,2729,,2716,10,3,0,0,0,1,113,1.5,1.0,0.9952,0.0037,0.0,True,True,False,False,False,1,False,False,False,0,True,2716 bins with n<10
4,KEIBAJO_SURFACE_02_芝_条件戦,kyori_tekisei+kyakushitsu+agari_shisu_juni+kakutoku_shokin_ruikei,2347,2347,,2320,24,3,0,0,0,1,113,1.7,1.0,0.9885,0.0102,0.0,True,True,False,False,False,1,False,False,False,0,True,2320 bins with n<10
4,KEIBAJO_SURFACE_02_芝_条件戦,kyori_tekisei+kyakushitsu+ichi_shisu_juni+agari_shisu_juni,1649,1649,6480.0,1635,11,3,0,0,0,1,113,2.4,1.0,0.9915,0.0067,0.0,True,True,False,False,False,1,False,False,False,0,True,1635 bins with n<10; only 1649/6480 possible bins observed
4,KEIBAJO_SURFACE_02_芝_条件戦,omo_tekisei_code+uma_start_shisu+kyakushitsu+uma_deokure_ritsu,974,974,,933,38,2,1,0,0,1,173,3.1,1.0,0.9579,0.039,0.0,True,True,False,False,False,1,False,False,False,0,False,933 bins with n<10
4,KEIBAJO_SURFACE_02_芝_条件戦,pace_yoso+kyori_kubun+kyakushitsu+uma_deokure_ritsu,537,537,,470,64,2,1,0,0,1,156,5.7,2.0,0.8752,0.1192,0.0,True,True,False,False,False,1,False,False,False,0,False,470 bins with n<10
4,KEIBAJO_SURFACE_03_ダ,pace_yoso+class_code+idm+tenkai_kigo_code,3566,3566,,3389,174,3,0,0,0,1,111,2.9,1.0,0.9504,0.0488,0.0,True,True,False,False,False,1,False,False,False,0,False,3389 bins with n<10
4,KEIBAJO_SURFACE_03_芝,kyakushitsu+uma_deokure_ritsu+uma_start_shisu+ten_shisu_juni,6416,6416,,6316,97,3,0,0,0,1,110,1.9,1.0,0.9844,0.0151,0.0,True,True,False,False,False,1,False,False,False,0,True,6316 bins with n<10
4,KEIBAJO_SURFACE_04_ダ,kyori_kubun+joho_shisu+kishu_shisu+uma_start_shisu,6889,6889,,6742,143,2,2,0,0,1,187,2.0,1.0,0.9787,0.0208,0.0,True,True,False,False,False,1,False,False,False,0,False,6742 bins with n<10
4,KEIBAJO_SURFACE_04_ダ,kyori_kubun+kyori_tekisei+kishu_shisu+uma_start_shisu,3124,3124,,2811,309,4,0,0,0,1,140,4.4,2.0,0.8998,0.0989,0.0,True,True,False,False,False,1,False,False,False,0,False,2811 bins with n<10
4,KEIBAJO_SURFACE_04_ダ,manken_shirushi+kyori_kubun+da_tekisei_code+uma_start_shisu,956,956,,694,257,5,0,0,0,1,139,8.8,4.0,0.7259,0.2688,0.0,True,True,False,False,False,1,False,False,False,0,False,694 bins with n<10
4,KEIBAJO_SURFACE_04_ダ,manken_shirushi+kyori_kubun+kyori_tekisei+uma_start_shisu,1289,1289,,1054,229,6,0,0,0,1,145,6.9,3.0,0.8177,0.1777,0.0,True,True,False,False,False,1,False,False,False,0,False,1054 bins with n<10
4,KEIBAJO_SURFACE_04_ダ,manken_shirushi+kyori_tekisei+umakigo_code+uma_start_shisu,1277,1277,,1016,256,5,0,0,0,1,128,7.0,2.0,0.7956,0.2005,0.0,True,True,False,False,False,1,False,False,False,0,False,1016 bins with n<10
4,KEIBAJO_SURFACE_04_ダ_条件戦,pace_yoso+uma_start_shisu+uma_deokure_ritsu+hizume_code,2362,2362,,2300,58,3,1,0,0,1,178,2.4,1.0,0.9738,0.0246,0.0,True,True,False,False,False,1,False,False,False,0,False,2300 bins with n<10
4,KEIBAJO_SURFACE_04_ダ_条件戦,uma_start_shisu+omo_tekisei_code+uma_deokure_ritsu+hizume_code,2389,2389,,2328,58,2,1,0,0,1,204,2.3,1.0,0.9745,0.0243,0.0,True,True,False,False,False,1,False,False,False,0,False,2328 bins with n<10
4,KEIBAJO_SURFACE_05_ダ_条件戦,pace_yoso+rotation+kyakushitsu+hizume_code,1999,1999,960.0,1780,216,3,0,0,0,1,139,4.6,2.0,0.8904,0.1081,0.0,True,True,False,False,False,1,False,False,False,0,False,1780 bins with n<10
4,KEIBAJO_SURFACE_05_芝,hizume_code+rotation+uma_deokure_ritsu+kyakushitsu,9323,9323,,9069,251,3,0,0,0,1,133,2.2,1.0,0.9728,0.0269,0.0,True,True,False,False,False,1,False,False,False,0,False,9069 bins with n<10
4,KEIBAJO_SURFACE_05_芝,kyori_tekisei_2+joken_class_code+uma_deokure_ritsu+shiba_tekisei_code,906,906,,789,114,3,0,0,0,1,148,5.3,2.0,0.8709,0.1258,0.0,True,True,False,False,False,1,False,False,False,0,False,789 bins with n<10
4,KEIBAJO_SURFACE_05_芝,kyori_tekisei_2+kyori_kubun+kyori_tekisei+uma_deokure_ritsu,473,473,,350,119,0,3,1,0,1,354,10.1,3.0,0.74,0.2516,0.0,True,True,False,False,False,1,False,False,False,0,False,350 bins with n<10
4,KEIBAJO_SURFACE_05_芝,kyori_tekisei_2+kyori_kubun+uma_deokure_ritsu+kyakushitsu,946,946,,838,105,2,1,0,0,1,182,5.1,3.0,0.8858,0.111,0.0,True,True,False,False,False,1,False,False,False,0,False,838 bins with n<10
4,KEIBAJO_SURFACE_05_芝,kyori_tekisei_2+kyori_tekisei+uma_deokure_ritsu+kyakushitsu,623,623,,495,125,1,1,1,0,1,314,7.7,3.0,0.7945,0.2006,0.0,True,True,False,False,False,1,False,False,False,0,False,495 bins with n<10
4,KEIBAJO_SURFACE_05_芝,kyori_tekisei_2+omo_tekisei_code+kyori_tekisei+uma_deokure_ritsu,549,549,,423,122,2,1,1,0,1,387,8.7,3.0,0.7705,0.2222,0.0,True,True,False,False,False,1,False,False,False,0,False,423 bins with n<10
4,KEIBAJO_SURFACE_05_芝,kyori_tekisei_2+omo_tekisei_code+uma_deokure_ritsu+shiba_tekisei_code,794,794,,671,120,2,1,0,0,1,257,6.0,2.0,0.8451,0.1511,0.0,True,True,False,False,False,1,False,False,False,0,False,671 bins with n<10
4,KEIBAJO_SURFACE_05_芝,kyori_tekisei_2+pace_yoso+kyori_kubun+uma_deokure_ritsu,692,692,,567,121,2,2,0,0,1,268,6.9,2.0,0.8194,0.1749,0.0,True,True,False,False,False,1,False,False,False,0,False,567 bins with n<10
4,KEIBAJO_SURFACE_05_芝,kyori_tekisei_2+pace_yoso+omo_tekisei_code+uma_deokure_ritsu,788,788,,674,111,2,1,0,0,1,294,6.1,2.0,0.8553,0.1409,0.0,True,True,False,False,False,1,False,False,False,0,False,674 bins with n<10
4,KEIBAJO_SURFACE_05_芝,kyori_tekisei_2+uma_deokure_ritsu+kyakushitsu+shiba_tekisei_code,925,925,,822,100,2,1,0,0,1,205,5.2,3.0,0.8886,0.1081,0.0,True,True,False,False,False,1,False,False,False,0,False,822 bins with n<10
4,KEIBAJO_SURFACE_05_芝_未勝利,kyori_kubun+shiba_tekisei_code+kyori_tekisei+ichi_shisu_juni,344,344,2250.0,265,76,3,0,0,0,1,118,10.4,3.0,0.7703,0.2209,0.0,True,True,False,False,False,1,False,False,False,0,True,265 bins with n<10; only 344/2250 possible bins observed
4,KEIBAJO_SURFACE_05_芝_条件戦,kyori_kubun+pace_yoso+uma_start_shisu+hizume_code,1369,1369,,1231,135,3,0,0,0,1,124,4.5,2.0,0.8992,0.0986,0.0,True,True,False,False,False,1,False,False,False,0,False,1231 bins with n<10
