segment,factors,base_3combo,n_valid_bins,n_valid_bets,mean_corrected_roi,std_bin_roi,clb,pass,skip
KEIBAJO_SURFACE_08_ダ,goal_juni+goal_sa+manken_shirushi+omo_tekisei_code,goal_sa+manken_shirushi+omo_tekisei_code,5,577,91.75,4.46,87.84,True,False
KEIBAJO_SURFACE_06_ダ,goal_sa+shirushi_code_1+shirushi_code_2+wakuban,goal_sa+shirushi_code_2+wakuban,8,1365,93.71,8.51,87.81,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_tansho+kijun_odds_fukusho+shirushi_code_4,goal_juni+kijun_ninkijun_tansho+kijun_odds_fukusho,4,805,91.06,3.44,87.69,True,False
KEIBAJO_SURFACE_07_ダ,bac_shubetsu+goal_juni+kijun_ninkijun_tansho+prev1_corner4_bin,bac_shubetsu+goal_juni+kijun_ninkijun_tansho,3,483,89.64,1.74,87.67,True,False
KEIBAJO_SURFACE_07_ダ,kijun_ninkijun_fukusho+pace_yoso+prev1_bataiju_bin+yoso_juni,kijun_ninkijun_fukusho+prev1_bataiju_bin+yoso_juni,3,428,92.68,4.55,87.54,True,False
KEIBAJO_SURFACE_08_ダ,chokyo_yajirushi_code+goal_juni+goal_sa+kyori_tekisei,goal_juni+goal_sa+kyori_tekisei,5,1443,88.36,1.05,87.44,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+joa_ls_shisu+kijun_ninkijun_fukusho+kyori_tekisei,goal_juni+kijun_ninkijun_fukusho+kyori_tekisei,3,404,91.54,3.68,87.37,True,False
KEIBAJO_SURFACE_08_ダ,goal_juni+goal_sa+shirushi_code_2+yy_int,goal_juni+goal_sa+shirushi_code_2,7,1023,91.57,5.7,87.35,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+ichi_shisu_juni+kijun_ninkijun_fukusho+shirushi_code_4,goal_juni+ichi_shisu_juni+kijun_ninkijun_fukusho,3,525,89.97,2.33,87.34,True,False
KEIBAJO_SURFACE_08_ダ,goal_juni+goal_sa+kyori_tekisei+shirushi_code_2,goal_juni+goal_sa+shirushi_code_2,6,1390,90.39,3.82,87.33,True,False
KEIBAJO_SURFACE_08_芝,goal_juni+goal_sa+prev1_kyakushitsu+yoso_juni,goal_sa+prev1_kyakushitsu+yoso_juni,4,529,90.84,3.65,87.26,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_fukusho+kyori_tekisei+shirushi_code_4,goal_juni+kijun_ninkijun_fukusho+kyori_tekisei,10,1659,91.04,6.16,87.22,True,False
KEIBAJO_SURFACE_06_芝,goal_sa+pace_yoso+shirushi_code_2+shirushi_code_5,goal_sa+shirushi_code_2+shirushi_code_5,3,440,93.63,5.67,87.21,True,False
