segment,factors,base_3combo,combo_clb,oot_clb,oot_n_bins,oot_n_bets,oot_roi_2023,oot_roi_2024,oot_roi_2025,oot_min_yearly_roi,f1_pass,f1_reason,has_shirushi,best_shirushi_clb,optimal_odds_t,optimal_rank_t,f2_pass,f2_reason,n_subsets_evaluated,max_subset_clb,cross_gain,f3_pass,f3_reason,all_pass
KEIBAJO_SURFACE_08_芝,goal_juni+goal_sa+omo_tekisei_code+yoso_juni,goal_juni+omo_tekisei_code+yoso_juni,89.08,83.7,5,6414,75.4,74.75,74.95,74.75,True,pass,False,,,,True,no_shirushi_auto_pass,14,82.99,6.09,True,pass,True
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_fukusho+shirushi_code_6+yoso_juni,goal_juni+kijun_ninkijun_fukusho+yoso_juni,89.03,85.83,4,6282,79.87,78.9,77.64,77.64,True,pass,True,,,,False,no_valid_grid,0,,,False,skipped_f2_fail,False
KEIBAJO_SURFACE_07_ダ,kijun_ninkijun_fukusho+prev1_bataiju_bin+shirushi_code_3+yoso_juni,kijun_ninkijun_fukusho+prev1_bataiju_bin+yoso_juni,88.99,85.16,4,6282,79.76,79.49,79.93,79.49,True,pass,True,73.69,5.0,3.0,False,shirushi_clb_low,0,,,False,skipped_f2_fail,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_fukusho+kijun_ninkijun_tansho+prev1_bataiju_bin,goal_juni+kijun_ninkijun_tansho+prev1_bataiju_bin,88.91,87.13,7,6282,76.18,73.84,75.3,73.84,True,pass,False,,,,True,no_shirushi_auto_pass,14,88.77,0.14,True,pass,True
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_odds_fukusho+shirushi_code_1+shirushi_code_6,goal_juni+kijun_odds_fukusho+shirushi_code_1,88.69,86.86,3,6282,80.12,80.62,79.46,79.46,True,pass,True,,,,False,no_valid_grid,0,,,False,skipped_f2_fail,False
KEIBAJO_SURFACE_10_芝,agari_shisu_juni+goal_juni+goal_sa+kyori,agari_shisu_juni+goal_sa+kyori,88.64,89.59,3,4996,73.15,73.95,73.6,73.15,True,pass,False,,,,True,no_shirushi_auto_pass,14,89.72,-1.08,False,no_cross_gain,False
KEIBAJO_SURFACE_07_ダ,kijun_ninkijun_tansho+prev1_bataiju_bin+shirushi_code_2+yoso_juni,kijun_ninkijun_tansho+prev1_bataiju_bin+yoso_juni,88.64,87.28,3,6282,79.32,80.03,80.2,79.32,True,pass,True,,,,False,no_valid_grid,0,,,False,skipped_f2_fail,False
KEIBAJO_SURFACE_07_ダ,kijun_ninkijun_tansho+kijun_odds_fukusho+pace_yoso+yoso_juni,kijun_ninkijun_tansho+kijun_odds_fukusho+yoso_juni,88.62,80.76,3,6282,75.75,73.86,74.71,73.86,True,pass,False,,,,True,no_shirushi_auto_pass,14,82.57,6.05,True,pass,True
KEIBAJO_SURFACE_08_芝,goal_sa+shirushi_code_3+shirushi_code_5+shirushi_code_6,goal_sa+shirushi_code_5+shirushi_code_6,88.61,77.11,4,6414,83.32,77.44,78.16,77.44,True,pass,True,71.17,5.0,3.0,False,shirushi_clb_low,0,,,False,skipped_f2_fail,False
KEIBAJO_SURFACE_05_芝,joa_odds_shisu+kijun_odds_tansho+shirushi_code_1+shirushi_code_4,joa_odds_shisu+kijun_odds_tansho+shirushi_code_1,88.58,88.25,6,6903,81.31,78.85,80.44,78.85,True,pass,True,,,,False,no_valid_grid,0,,,False,skipped_f2_fail,False
