segment,factors,n_valid_bins,n_valid_bets,mean_corrected_roi,std_bin_roi,clb,pass,skip
KEIBAJO_SURFACE_08_ダ,kyori_tekisei+manken_shirushi+shirushi_code_2,3.0,336.0,91.18,3.39,87.34,True,False
KEIBAJO_SURFACE_05_芝,joho_shisu+shirushi_code_1+shirushi_code_4,5.0,552.0,94.5,8.18,87.33,True,False
KEIBAJO_SURFACE_02_芝,goal_juni+goal_sa+pace_yoso,3.0,753.0,93.47,5.43,87.32,True,False
KEIBAJO_SURFACE_01_芝,kijun_ninkijun_fukusho+kijun_odds_fukusho+shirushi_code_1,3.0,360.0,91.98,4.12,87.32,True,False
KEIBAJO_SURFACE_07_ダ,dochu_juni+goal_juni+kijun_ninkijun_fukusho,3.0,528.0,89.04,1.53,87.3,True,False
KEIBAJO_SURFACE_05_芝,kishu_shisu+shirushi_code_2+shirushi_code_3,4.0,703.0,92.73,5.57,87.28,True,False
KEIBAJO_SURFACE_08_ダ,goal_sa+joa_ls_shisu+shirushi_code_1,4.0,752.0,91.93,4.77,87.26,True,False
KEIBAJO_SURFACE_02_芝,ichi_shisu+shirushi_code_1+shutoku_shokin_ruikei,4.0,411.0,90.68,3.5,87.25,True,False
KEIBAJO_SURFACE_02_芝,bac_juryo_shubetsu_code+ichi_shisu+shirushi_code_1,4.0,411.0,90.68,3.5,87.25,True,False
KEIBAJO_SURFACE_02_芝,moshoku_code+shirushi_code_1+shirushi_code_3,4.0,584.0,95.5,8.43,87.24,True,False
KEIBAJO_SURFACE_02_芝,ichi_shisu_juni+shirushi_code_1+shirushi_code_3,3.0,348.0,91.31,3.6,87.23,True,False
KEIBAJO_SURFACE_08_芝,ls_shisu_juni+prev1_chakujun+shirushi_code_4,5.0,739.0,90.99,4.3,87.22,True,False
KEIBAJO_SURFACE_02_芝,ichi_shisu+kyori_tekisei+shirushi_code_1,4.0,404.0,90.6,3.47,87.19,True,False
KEIBAJO_SURFACE_01_芝,gekiso_juni+kijun_ninkijun_fukusho+shirushi_code_1,3.0,373.0,95.36,7.25,87.16,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+shirushi_code_6+yoso_juni,6.0,1072.0,90.11,3.74,87.12,True,False
KEIBAJO_SURFACE_08_芝,goal_juni+manken_shirushi+shirushi_code_1,3.0,395.0,93.03,5.25,87.09,True,False
KEIBAJO_SURFACE_08_芝,gekiso_juni+prev1_chakujun+shirushi_code_4,3.0,502.0,89.78,2.4,87.06,True,False
KEIBAJO_SURFACE_05_芝,shirushi_code_4+shirushi_code_6+taikei_tomo,6.0,837.0,91.96,6.14,87.05,True,False
