segment,factors,combo_clb,oot_clb,oot_n_bins,oot_n_bets,oot_roi_2023,oot_roi_2024,oot_roi_2025,oot_min_yearly_roi,f1_pass,f1_reason,has_shirushi,best_shirushi_clb,optimal_odds_t,optimal_rank_t,f2_pass,f2_reason,max_subset_clb,cross_gain,f3_pass,f3_reason,all_pass
KEIBAJO_SURFACE_07_ダ,goal_juni+kyori_tekisei+ten_shisu_juni,86.0,77.84,4,6282,75.75,73.86,77.19,73.86,True,pass,False,,,,True,no_shirushi_auto_pass,70.34,15.66,True,pass,True
KEIBAJO_SURFACE_08_芝,chokyoshi_rank+goal_sa+pace_shisu_juni,85.97,81.82,9,6414,74.88,74.57,74.31,74.31,True,pass,False,,,,True,no_shirushi_auto_pass,74.37,11.6,True,pass,True
KEIBAJO_SURFACE_06_芝,goal_sa+kijun_ninkijun_tansho+wakuban,85.9,85.8,7,6647,74.03,75.25,73.12,73.12,True,pass,False,,,,True,no_shirushi_auto_pass,71.66,14.24,True,pass,True
KEIBAJO_SURFACE_06_芝,goal_sa+kijun_ninkijun_fukusho+manken_shirushi,85.87,87.02,5,6647,75.54,77.9,75.1,75.1,True,pass,False,,,,True,no_shirushi_auto_pass,73.48,12.39,True,pass,True
KEIBAJO_SURFACE_06_芝,goal_sa+shirushi_code_2+yoso_juni,85.85,82.17,5,6647,79.57,81.06,75.94,75.94,True,pass,True,91.09,5.0,3.0,True,pass,74.86,10.99,True,pass,True
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_odds_fukusho+pace_yoso,85.82,83.22,9,6282,75.75,73.86,74.71,73.86,True,pass,False,,,,True,no_shirushi_auto_pass,80.64,5.18,True,pass,True
KEIBAJO_SURFACE_02_芝,agari_shisu_juni+kijun_ninkijun_fukusho+kijun_ninkijun_tansho,85.82,87.98,4,2257,74.39,73.3,75.26,73.3,True,pass,False,,,,True,no_shirushi_auto_pass,79.68,6.14,True,pass,True
KEIBAJO_SURFACE_07_ダ,ichi_shisu_juni+kijun_ninkijun_tansho+yoso_juni,85.79,79.77,4,6282,75.75,73.86,74.71,73.86,True,pass,False,,,,True,no_shirushi_auto_pass,71.86,13.93,True,pass,True
KEIBAJO_SURFACE_06_芝,goal_sa+prev1_kyakushitsu+rotation,85.69,89.79,3,6647,74.29,75.84,73.38,73.38,True,pass,False,,,,True,no_shirushi_auto_pass,72.87,12.82,True,pass,True
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_fukusho+manken_shirushi,85.68,82.96,3,6282,75.4,74.8,80.13,74.8,True,pass,False,,,,True,no_shirushi_auto_pass,73.1,12.58,True,pass,True
KEIBAJO_SURFACE_08_ダ,agari_shisu_juni+manken_shirushi+omo_tekisei_code,85.65,79.28,18,7800,73.71,76.26,78.33,73.71,True,pass,False,,,,True,no_shirushi_auto_pass,73.52,12.13,True,pass,True
KEIBAJO_SURFACE_07_ダ,gekiso_juni+kyori+yoso_juni,85.63,77.07,6,6282,75.75,73.86,74.71,73.86,True,pass,False,,,,True,no_shirushi_auto_pass,73.62,12.01,True,pass,True
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_fukusho+kijun_odds_fukusho,85.61,84.49,6,6282,75.75,73.86,74.71,73.86,True,pass,False,,,,True,no_shirushi_auto_pass,80.64,4.97,True,pass,True
KEIBAJO_SURFACE_07_ダ,kohan_3f_juni+shirushi_code_1+yoso_juni,85.58,85.13,3,6282,77.75,79.24,78.8,77.75,True,pass,True,90.85,8.0,3.0,True,pass,72.8,12.78,True,pass,True
KEIBAJO_SURFACE_08_芝,dochu_sa+goal_sa+kyi_kyusha_rank,85.57,82.12,4,6414,74.88,74.57,74.31,74.31,True,pass,False,,,,True,no_shirushi_auto_pass,77.23,8.34,True,pass,True
KEIBAJO_SURFACE_01_ダ,barei+goal_juni+sanchimei,85.49,81.57,6,2167,75.19,75.9,75.45,75.19,True,pass,False,,,,True,no_shirushi_auto_pass,74.53,10.96,True,pass,True
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_tansho+kijun_odds_fukusho,85.49,84.49,6,6282,75.75,73.86,74.71,73.86,True,pass,False,,,,True,no_shirushi_auto_pass,80.64,4.85,True,pass,True
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_odds_fukusho+shirushi_code_1,85.45,80.3,4,6282,77.75,79.24,78.8,77.75,True,pass,True,90.33,10.0,3.0,True,pass,80.64,4.81,True,pass,True
KEIBAJO_SURFACE_06_芝,goal_sa+shirushi_code_2+shirushi_code_5,85.44,81.74,5,6647,81.5,81.53,77.5,77.5,True,pass,True,78.2,5.0,5.0,True,pass,75.3,10.14,True,pass,True
KEIBAJO_SURFACE_08_ダ,goal_sa+kyi_kyusha_rank+shirushi_code_2,85.42,82.85,9,7800,77.8,79.09,80.3,77.8,True,pass,True,83.55,10.0,7.0,True,pass,74.78,10.64,True,pass,True
KEIBAJO_SURFACE_02_芝,goal_juni+goal_sa+kyi_kyusha_rank,85.39,80.42,3,2257,74.43,73.3,75.01,73.3,True,pass,False,,,,True,no_shirushi_auto_pass,78.89,6.5,True,pass,True
KEIBAJO_SURFACE_08_芝,dochu_sa+goal_sa+tenkai_kigo_code,85.36,88.88,4,6414,74.86,74.51,74.31,74.31,True,pass,False,,,,True,no_shirushi_auto_pass,77.23,8.13,True,pass,True
KEIBAJO_SURFACE_08_芝,goal_sa+shirushi_code_3+yoso_juni,85.34,86.34,5,6414,81.21,75.8,76.56,75.8,True,pass,True,80.15,5.0,3.0,True,pass,75.07,10.27,True,pass,True
KEIBAJO_SURFACE_10_芝,barei+goal_juni+yoso_juni,85.33,80.99,7,4996,73.15,73.95,73.6,73.15,True,pass,False,,,,True,no_shirushi_auto_pass,68.38,16.95,True,pass,True
KEIBAJO_SURFACE_01_ダ,barei+goal_sa+prev1_kyakushitsu,85.33,75.38,8,2167,75.05,75.85,75.59,75.05,True,pass,False,,,,True,no_shirushi_auto_pass,76.62,8.71,True,pass,True
KEIBAJO_SURFACE_10_芝,goal_sa+joken_class_code+manken_shirushi,85.3,83.04,5,4996,76.16,77.07,75.66,75.66,True,pass,False,,,,True,no_shirushi_auto_pass,77.2,8.1,True,pass,True
KEIBAJO_SURFACE_10_芝,goal_sa+manken_shirushi+shutoku_shokin_ruikei,85.3,83.04,5,4996,76.16,77.07,75.66,75.66,True,pass,False,,,,True,no_shirushi_auto_pass,77.2,8.1,True,pass,True
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_tansho+manken_shirushi,85.29,82.96,3,6282,75.4,74.8,80.13,74.8,True,pass,False,,,,True,no_shirushi_auto_pass,73.1,12.19,True,pass,True
KEIBAJO_SURFACE_10_芝,goal_juni+prev1_chakujun+shirushi_code_2,85.28,91.03,2,4996,77.74,79.89,80.31,77.74,True,pass,True,100.31,8.0,3.0,True,pass,72.19,13.09,True,pass,True
